mnid,clean_cooking,clean_lighting,house_ownership,male_head,literate_head,age_head,share_sq,pol_term,div_index,pol_index,year,new_lu_name,_est_m1,yhat_ols,_est_m2,yhat_fe_div,_est_m3,yhat_fe_both
Khotehang Gaunpalika,.045123726,.9708879,.9708879,.74090248,.64919943,50.851528,.4142571726629996,.132817742502084,.58574283,.86718225,2021,,1,.20853026,1,.099101357,1,.10096698
Jante Dhunga Gaunpalika,.0029239766,.55574101,.97823375,.7501775,.45247862,49.165276,,,.61528116,.71843761,2011,Jantedhunga,1,-.022811003,1,-.06243033,1,-.057608705
Jante Dhunga Gaunpalika,.066543438,.96487987,.96487987,.78188539,.60443622,51.471348,.4953182473304594,.1800317919114605,.50468177,.81996822,2021,,1,.18595378,1,.13189775,1,.12707612
Baraha Pokhari Gaunpalika,0,.48232937,.97769904,.78651154,.49979246,49.028683,,,.68902528,.61528486,2011,Barahapokhari,1,.0068757683,1,-.030136928,1,-.011659143
Baraha Pokhari Gaunpalika,.069230773,.97692305,.99038464,.73461539,.5519231,49.849998,.6704844357882394,.429757374804467,.32951558,.57024264,2021,,1,.10127721,1,.099367701,1,.080889918
Shadananda Municipality,.0052417186,.49926868,.90701532,.76735699,.585509,49.489044,,,.80344224,.56568444,2011,Shadananda,1,.14715521,1,-.03365479,1,-.049891494
Shadananda Municipality,.04911181,.98014629,.94043887,.75653082,.69278997,50.104492,.4716845482796543,.1577698221663013,.52831542,.8422302,2021,,1,.24581476,1,.088008322,1,.10424502
Salpa Silichho Gaunpalika,.0042372881,.36467978,.96110898,.77485371,.55052263,48.391148,,,.81639194,.53469968,2011,Salpasilichho,1,.076099098,1,-.075681962,1,-.082025953
Salpa Silichho Gaunpalika,.040280212,.93870401,.96147108,.78108579,.7180385,48.148861,.5699016031283008,.281464256811887,.43009838,.71853572,2021,,1,.20352694,1,.12019946,1,.12654345
Temkemaiyum Gaunpalika,.0029761905,.59977615,.89183509,.72402674,.61611724,49.554226,,,.67179871,.60155851,2011,Tyamkemaiyung,1,.13406155,1,-.023832489,1,-.031615753
Temkemaiyum Gaunpalika,.036253776,.97129911,.9410876,.73716015,.71299094,51.447128,.4632944279301228,.1910328909289092,.53670555,.80896711,2021,,1,.24196805,1,.063062452,1,.070845723
Bhojpur Municipality,.026054004,.66251802,.8656128,.68786108,.600214,48.759682,,,.75804937,.64107984,2011,Bhojpur,1,.19647434,1,.030234095,1,.030423775
