mnid,clean_cooking,clean_lighting,div_index,pol_index,new_lu_name,yhat_ols,yhat_fe_div,yhat_fe_both
Sunwarshi Municipality,.1580967,.97083652,.79747778,.62084115,,.27402097,.1828917,.18225613
Rangeli Municipality,.26181546,.96174043,.7606684,.67569566,,.27561265,.26339045,.27617899
Gramthan Gaunpalika,.37805983,.98640072,.61831921,.71906972,,.24233174,.31020135,.30375555
Budhiganga Gaunpalika,.55054432,.9867807,.77421331,.65276635,,.38861012,.43519077,.43394113
Biratnagar Metropolitian City,.80547947,.99178082,.77022243,.6535278,,.58219248,.70861733,.7215358
Katahari Gaunpalika,.43734014,.97953963,.76700437,.68586612,,.3323136,.37087291,.3779332
Dhanapalthan Gaunpalika,.0941073,.98153037,.70165819,.77834308,,.25198898,.14805084,.16291764
Jahada Gaunpalika,.066137567,.9559083,.66229671,.81320322,,.21256143,.12889279,.15471014
Dharan Sub-Metropolitian City,.87745297,.99639565,.56539083,.74910629,,.587556,.74398333,.74826723
Barahachhetra Municipality,.47773972,.99257994,.75567698,.66890293,,.28605324,.36319849,.38213596
Koshi Gaunpalika,.081726357,.98255283,.70339352,.77437806,,.24566402,.10482501,.12029129
Bhokraha Narsingh Gaunpalika,.064425774,.98692811,.68722868,.80177361,,.2333473,.12568875,.13021934
Ramdhuni Municipality,.52836639,.98838001,.73682868,.69274098,,.31303111,.45941606,.4595367
Itahari Sub-Metropolitian City,.83321142,.9967081,.75000399,.69437981,,.5982281,.73661536,.74052906
Duhabi Municipality,.44343576,.98463684,.78933465,.62682909,,.44587848,.39842424,.38848427
Gadhi Gaunpalika,.18416031,.97232825,.69124335,.78371781,,.24999264,.20986694,.22142735
Inaruwa Municipality,.44331983,.99325234,.79995942,.61246902,,.37402442,.42352086,.41528901
Harinagar Gaunpalika,.067924529,.99622643,.57267052,.81336486,,.19637874,.12464518,.12789474
Dewangunj Gaunpalika,.081488937,.98591548,.52693963,.72487235,,.19598936,.14334933,.14905672
Barju Gaunpalika,.15254237,.97507477,.72615385,.73173392,,.26595509,.17153414,.19100492
Belaka Municipality,.18332022,.96931553,.68860817,.77234429,,.25609496,.19841328,.21001285
Chaudandigadhi Municipality,.28725037,.97926265,.72175044,.73972231,,.29759744,.24613561,.24183317
Triyuga Municipality,.47853404,.99162304,.75470102,.69814295,,.37831241,.39579377,.37632445
Rautamai Gaunpalika,.10836763,.96707821,.51459962,.79124999,,.20753512,.12121189,.1240283
Limchunbung Gaunpalika,.052410901,.95807129,.46580833,.76758868,,.15214886,.11586285,.1088403
Tapli Gaunpalika,.048648648,.96216214,.4820666,.75841552,,.1533493,.097629145,.10179801
Katari Municipality,.35849056,.98911464,.69057947,.76555657,,.34902179,.32173854,.33078355
Udayapurgadhi Gaunpalika,.081610449,.9804135,.51034075,.78645402,,.17459385,.11491024,.12325329
Saptakoshi Municipality,.2284264,.99111676,.7913866,.64398187,,.28392142,.21391232,.21964273
Kanchanrup Municipality,.19272445,.98452014,.77498627,.66351831,,.29513332,.21365106,.22545381
Agnisair Krishnasabaran Gaunpalika,.12735327,.99224806,.74404949,.69398487,,.2327598,.15840153,.15905474
Rupani Gaunpalika,.11098528,.98980749,.66215795,.789922,,.20719153,.15312797,.17134915
Shambhunath Municipality,.12345679,.98480535,.71690524,.78156859,,.24526444,.16151312,.17404416
Khadak Municipality,.11599006,.99420047,.75468463,.73159903,,.24354187,.15997097,.16020727
Surunga Municipality,.11177474,.98890787,.75460517,.68900663,,.2420613,.14813621,.14541611
Balan-Bihul Gaunpalika,.074509807,.9751634,.57971931,.79566842,,.19079854,.15030809,.16235356
